"";"DIM2";"Maakond";"DIM3";"Tegevusvaldkond";"DIM4";"Sugu";"TIME";"Vaatlusperiood";"Value"
"267";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2010;2010;4520
"268";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2011;2011;4267
"269";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2012;2012;4264
"270";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2013;2013;4264
"271";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2014;2014;4329
"272";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2015;2015;4352
"273";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2016;2016;4375
"274";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2017;2017;4625
"275";37;"Harju maakond";4;"Koorimuusika";1;"Mehed";2018;2018;4633
"276";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2008;2008;10167
"277";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2009;2009;10277
"278";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2010;2010;10574
"279";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2011;2011;9832
"280";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2012;2012;9824
"281";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2013;2013;9824
"282";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2014;2014;10109
"283";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2015;2015;10163
"284";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2016;2016;10709
"285";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2017;2017;10820
"286";37;"Harju maakond";4;"Koorimuusika";2;"Naised";2018;2018;10901
"287";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2008;2008;15
"288";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2009;2009;31
"289";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2010;2010;60
"290";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2011;2011;84
"291";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2012;2012;84
"292";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2013;2013;84
"293";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2014;2014;87
"294";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2015;2015;87
"295";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2016;2016;79
"296";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2017;2017;94
"297";37;"Harju maakond";5;"Muu vokaalmuusika";1;"Mehed";2018;2018;94
"298";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2008;2008;107
"299";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2009;2009;138
"300";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2010;2010;241
"301";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2011;2011;296
"302";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2012;2012;296
"303";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2013;2013;296
"304";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2014;2014;335
"305";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2015;2015;363
"306";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2016;2016;381
"307";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2017;2017;413
"308";37;"Harju maakond";5;"Muu vokaalmuusika";2;"Naised";2018;2018;384
"309";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2008;2008;773
"310";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2009;2009;799
"311";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2010;2010;867
"312";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2011;2011;850
"313";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2012;2012;850
"314";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2013;2013;850
"315";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2014;2014;871
"316";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2015;2015;865
"317";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2016;2016;866
"318";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2017;2017;891
"319";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2018;2018;886
"320";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2008;2008;626
"321";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2009;2009;639
"322";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2010;2010;729
"323";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2011;2011;660
"324";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2012;2012;660
"325";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2013;2013;660
"326";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2014;2014;674
"327";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2015;2015;672
"328";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2016;2016;690
"329";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2017;2017;717
"330";37;"Harju maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2018;2018;697
"331";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2008;2008;1578
"332";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2009;2009;1632
"333";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2010;2010;1914
"334";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2011;2011;2004
"335";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2012;2012;2004
"336";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2013;2013;2004
"337";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2014;2014;2092
"338";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2015;2015;2108
"339";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2016;2016;2350
"340";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2017;2017;2402
"341";37;"Harju maakond";7;"Rahvatants";1;"Mehed";2018;2018;2437
"342";37;"Harju maakond";7;"Rahvatants";2;"Naised";2008;2008;2728
"343";37;"Harju maakond";7;"Rahvatants";2;"Naised";2009;2009;2882
"344";37;"Harju maakond";7;"Rahvatants";2;"Naised";2010;2010;3165
"345";37;"Harju maakond";7;"Rahvatants";2;"Naised";2011;2011;3389
"346";37;"Harju maakond";7;"Rahvatants";2;"Naised";2012;2012;3387
"347";37;"Harju maakond";7;"Rahvatants";2;"Naised";2013;2013;3387
"348";37;"Harju maakond";7;"Rahvatants";2;"Naised";2014;2014;3647
"349";37;"Harju maakond";7;"Rahvatants";2;"Naised";2015;2015;3681
"350";37;"Harju maakond";7;"Rahvatants";2;"Naised";2016;2016;3884
"351";37;"Harju maakond";7;"Rahvatants";2;"Naised";2017;2017;4072
"352";37;"Harju maakond";7;"Rahvatants";2;"Naised";2018;2018;4064
"353";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2008;2008;0
"354";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2009;2009;2
"355";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2010;2010;26
"356";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2011;2011;26
"357";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2012;2012;26
"358";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2013;2013;26
"359";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2014;2014;35
"360";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2015;2015;31
"361";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2016;2016;31
"362";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2017;2017;33
"363";37;"Harju maakond";8;"Käsitöö";1;"Mehed";2018;2018;23
"364";37;"Harju maakond";8;"Käsitöö";2;"Naised";2008;2008;160
"365";37;"Harju maakond";8;"Käsitöö";2;"Naised";2009;2009;235
"366";37;"Harju maakond";8;"Käsitöö";2;"Naised";2010;2010;521
"367";37;"Harju maakond";8;"Käsitöö";2;"Naised";2011;2011;516
"368";37;"Harju maakond";8;"Käsitöö";2;"Naised";2012;2012;516
"369";37;"Harju maakond";8;"Käsitöö";2;"Naised";2013;2013;516
"370";37;"Harju maakond";8;"Käsitöö";2;"Naised";2014;2014;604
"371";37;"Harju maakond";8;"Käsitöö";2;"Naised";2015;2015;612
"372";37;"Harju maakond";8;"Käsitöö";2;"Naised";2016;2016;535
"373";37;"Harju maakond";8;"Käsitöö";2;"Naised";2017;2017;534
"374";37;"Harju maakond";8;"Käsitöö";2;"Naised";2018;2018;497
"375";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2008;2008;105
"376";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2009;2009;121
"377";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2010;2010;176
"378";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2011;2011;210
"379";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2012;2012;210
"380";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2013;2013;210
"381";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2014;2014;245
"382";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2015;2015;248
"383";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2016;2016;241
"384";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2017;2017;263
"385";37;"Harju maakond";9;"Muu valdkond";1;"Mehed";2018;2018;263
"386";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2008;2008;168
"387";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2009;2009;238
"388";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2010;2010;300
"389";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2011;2011;466
"390";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2012;2012;466
"391";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2013;2013;486
"392";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2014;2014;552
"393";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2015;2015;549
"394";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2016;2016;542
"395";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2017;2017;588
"396";37;"Harju maakond";9;"Muu valdkond";2;"Naised";2018;2018;588
"419";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2008;2008;23
"420";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2009;2009;23
"421";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2010;2010;23
"422";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2011;2011;23
"423";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2012;2012;19
"424";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2013;2013;19
"425";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2014;2014;9
"426";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2015;2015;9
"427";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2016;2016;9
"428";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2017;2017;7
"429";39;"Hiiu maakond";2;"Folkloor";1;"Mehed";2018;2018;7
"430";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2008;2008;79
"431";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2009;2009;79
"432";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2010;2010;79
"433";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2011;2011;70
"434";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2012;2012;59
"435";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2013;2013;64
"436";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2014;2014;48
"437";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2015;2015;48
"438";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2016;2016;41
"439";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2017;2017;41
"440";39;"Hiiu maakond";2;"Folkloor";2;"Naised";2018;2018;41
"441";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2008;2008;31
"442";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2009;2009;22
"443";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2010;2010;18
"444";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2011;2011;17
"445";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2012;2012;24
"446";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2013;2013;22
"447";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2014;2014;18
"448";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2015;2015;15
"449";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2016;2016;26
"450";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2017;2017;17
"451";39;"Hiiu maakond";3;"Harrastusteater";1;"Mehed";2018;2018;17
"452";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2008;2008;69
"453";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2009;2009;55
"454";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2010;2010;54
"455";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2011;2011;48
"456";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2012;2012;55
"457";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2013;2013;47
"458";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2014;2014;45
"459";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2015;2015;45
"460";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2016;2016;38
"461";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2017;2017;26
"462";39;"Hiiu maakond";3;"Harrastusteater";2;"Naised";2018;2018;26
"463";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2008;2008;63
"464";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2009;2009;92
"465";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2010;2010;90
"466";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2011;2011;50
"467";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2012;2012;65
"468";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2013;2013;55
"469";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2014;2014;78
"470";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2015;2015;78
"471";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2016;2016;75
"472";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2017;2017;62
"473";39;"Hiiu maakond";4;"Koorimuusika";1;"Mehed";2018;2018;69
"474";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2008;2008;260
"475";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2009;2009;286
"476";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2010;2010;303
"477";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2011;2011;216
"478";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2012;2012;274
"479";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2013;2013;258
"480";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2014;2014;241
"481";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2015;2015;220
"482";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2016;2016;208
"483";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2017;2017;220
"484";39;"Hiiu maakond";4;"Koorimuusika";2;"Naised";2018;2018;169
"485";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2008;2008;3
"486";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2009;2009;3
"487";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2010;2010;3
"488";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2011;2011;17
"489";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2012;2012;17
"490";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2013;2013;17
"491";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2014;2014;11
"492";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2015;2015;11
"493";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2016;2016;11
"494";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2017;2017;11
"495";39;"Hiiu maakond";5;"Muu vokaalmuusika";1;"Mehed";2018;2018;0
"496";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2008;2008;6
"497";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2009;2009;13
"498";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2010;2010;13
"499";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2011;2011;25
"500";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2012;2012;31
"501";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2013;2013;31
"502";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2014;2014;12
"503";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2015;2015;12
"504";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2016;2016;12
"505";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2017;2017;32
"506";39;"Hiiu maakond";5;"Muu vokaalmuusika";2;"Naised";2018;2018;29
"507";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2008;2008;19
"508";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2009;2009;16
"509";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2010;2010;17
"510";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2011;2011;24
"511";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2012;2012;29
"512";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2013;2013;25
"513";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2014;2014;16
"514";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2015;2015;16
"515";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2016;2016;19
"516";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2017;2017;19
"517";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";1;"Mehed";2018;2018;9
"518";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2008;2008;10
"519";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2009;2009;9
"520";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2010;2010;14
"521";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2011;2011;18
"522";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2012;2012;21
"523";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2013;2013;15
"524";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2014;2014;6
"525";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2015;2015;7
"526";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2016;2016;3
"527";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2017;2017;3
"528";39;"Hiiu maakond";6;"Puhkpilli- ja rahvamuusika";2;"Naised";2018;2018;2
"529";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2008;2008;67
"530";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2009;2009;73
"531";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2010;2010;56
"532";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2011;2011;55
"533";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2012;2012;44
"534";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2013;2013;43
"535";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2014;2014;39
"536";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2015;2015;33
"537";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2016;2016;45
"538";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2017;2017;69
"539";39;"Hiiu maakond";7;"Rahvatants";1;"Mehed";2018;2018;58
"540";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2008;2008;216
"541";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2009;2009;233
"542";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2010;2010;215
"543";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2011;2011;223
"544";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2012;2012;199
"545";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2013;2013;205
"546";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2014;2014;181
"547";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2015;2015;189
"548";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2016;2016;203
"549";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2017;2017;241
"550";39;"Hiiu maakond";7;"Rahvatants";2;"Naised";2018;2018;237
"551";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2008;2008;6
"552";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2009;2009;45
"553";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2010;2010;45
"554";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2011;2011;32
"555";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2012;2012;32
"556";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2013;2013;32
"557";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2014;2014;14
"558";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2015;2015;14
"559";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2016;2016;14
"560";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2017;2017;14
"561";39;"Hiiu maakond";8;"Käsitöö";1;"Mehed";2018;2018;4
"562";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2008;2008;73
"563";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2009;2009;112
"564";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2010;2010;112
"565";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2011;2011;90
"566";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2012;2012;81
"567";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2013;2013;81
"568";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2014;2014;38
"569";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2015;2015;38
"570";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2016;2016;38
"571";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2017;2017;38
"572";39;"Hiiu maakond";8;"Käsitöö";2;"Naised";2018;2018;35
"573";39;"Hiiu maakond";9;"Muu valdkond";1;"Mehed";2008;2008;7
